n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model_new,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,combination,accuracy,precision,recall,auc,log_loss_,cohen_kappa_score_,accuracy_train,ision_train,recall_train,auc_train
10,3s,knn__uniform,BoS__shap,BoS__shap,Yes,ADASYN,NN,3s & knn__uniform & BoS__shap & ADASYN & NN,0.0987,0.0662,0.9524,0.495,31.1296,-0.0014,0.5101,0.5039,0.9965,0.5124
225,3s,knn__uniform,nothing,nothing,Yes,ROSE,RF,3s & knn__uniform & nothing & ROSE & RF,0.9331,0,0,0.5,2.3099,0,0.9607,1,0.9214,0.9607
223,3s,MICE,nothing,nothing,Yes,ROSE,RF,3s & MICE & nothing & ROSE & RF,0.9331,0,0,0.5,2.3099,0,0.962,1,0.9239,0.962
226,nothing,knn__uniform,nothing,nothing,Yes,ROSE,RF,nothing & knn__uniform & nothing & ROSE & RF,0.9331,0,0,0.5,2.3099,0,0.9628,1,0.9256,0.9628
223,nothing,MICE,nothing,nothing,Yes,ROSE,RF,nothing & MICE & nothing & ROSE & RF,0.9331,0,0,0.5,2.3099,0,0.962,1,0.9239,0.962
24,3s,knn__uniform,RFE__RF,RFE__RF,Yes,ROSE,NN,3s & knn__uniform & RFE__RF & ROSE & NN,0.9331,0,0,0.5,2.3099,0,0.5,0,0,0.5
240,nothing,knn__uniform,nothing,nothing,Yes,SMOTE,NN,nothing & knn__uniform & nothing & SMOTE & NN,0.9331,0,0,0.5,2.3099,0,0.5,0,0,0.5
240,nothing,knn__uniform,nothing,nothing,Yes,ROSE,NN,nothing & knn__uniform & nothing & ROSE & NN,0.9331,0,0,0.5,2.3099,0,0.5,0,0,0.5
9,3s,knn__uniform,BoS__gini,BoS__gini,Yes,SMOTEENN,RF,3s & knn__uniform & BoS__gini & Yes & SMOTEENN & RF,0.8217,0.2131,0.619,0.7276,6.1599,0.2416,0.8938,0.9364,0.8675,0.8971
8,3s,knn__uniform,BoS__gini,BoS__gini,Yes,SMOTEENN,LR,3s & knn__uniform & BoS__gini & Yes & SMOTEENN & LR,0.8503,0.2292,0.5238,0.6988,5.1699,0.249,0.7227,0.8774,0.5805,0.7399
8,3s,knn__uniform,BoS__gini,BoS__gini,Yes,ADASYN,RF,3s & knn__uniform & BoS__gini & Yes & ADASYN & RF,0.7357,0.1026,0.381,0.571,9.1299,0.0629,0.848,0.8099,0.9063,0.8484
8,3s,knn__uniform,BoS__gini,BoS__gini,Yes,ADASYN,LR,3s & knn__uniform & BoS__gini & Yes & ADASYN & LR,0.6624,0.0952,0.4762,0.576,11.6598,0.0532,0.5883,0.5976,0.5208,0.5878
8,3s,knn__uniform,BoS__gini,BoS__gini,Yes,SMOTE,RF,3s & knn__uniform & BoS__gini & Yes & SMOTE & RF,0.707,0.1011,0.4286,0.5778,10.1198,0.0621,0.8064,0.7698,0.8744,0.8064
8,3s,knn__uniform,BoS__gini,BoS__gini,Yes,SMOTE,LR,3s & knn__uniform & BoS__gini & Yes & SMOTE & LR,0.6115,0.0826,0.4762,0.5487,13.4198,0.0303,0.5833,0.5917,0.5376,0.5833
5,3s,knn__uniform,BoS__gini,BoS__gini,Yes,ROSE,RF,3s & knn__uniform & BoS__gini & Yes & ROSE & RF,0.8025,0.1525,0.4286,0.629,6.8199,0.1402,0.738,0.8098,0.6222,0.738
5,3s,knn__uniform,BoS__gini,BoS__gini,Yes,ROSE,LR,3s & knn__uniform & BoS__gini & Yes & ROSE & LR,0.5573,0.0725,0.4762,0.5197,15.2898,0.011,0.5376,0.5418,0.4872,0.5376
7,3s,MICE,BoS__gini,BoS__gini,Yes,SMOTEENN,RF,3s & MICE & BoS__gini & Yes & SMOTEENN & RF,0.6783,0.1078,0.5238,0.6066,11.1098,0.0764,0.8831,0.8887,0.901,0.881
7,3s,MICE,BoS__gini,BoS__gini,Yes,SMOTEENN,LR,3s & MICE & BoS__gini & Yes & SMOTEENN & LR,0.4268,0.0749,0.6667,0.5381,19.7997,0.0163,0.6333,0.6386,0.773,0.617
7,3s,MICE,BoS__gini,BoS__gini,Yes,ADASYN,RF,3s & MICE & BoS__gini & Yes & ADASYN & RF,0.5955,0.0726,0.4286,0.518,13.9698,0.011,0.7624,0.7221,0.8598,0.7615
4,3s,MICE,BoS__gini,BoS__gini,Yes,ADASYN,LR,3s & MICE & BoS__gini & Yes & ADASYN & LR,0.5414,0.0872,0.619,0.5774,15.8398,0.0404,0.5201,0.526,0.4929,0.5204
4,3s,MICE,BoS__gini,BoS__gini,Yes,SMOTE,RF,3s & MICE & BoS__gini & Yes & SMOTE & RF,0.7962,0.1475,0.4286,0.6255,7.0399,0.1333,0.7175,0.7769,0.6103,0.7175
5,3s,MICE,BoS__gini,BoS__gini,Yes,SMOTE,LR,3s & MICE & BoS__gini & Yes & SMOTE & LR,0.586,0.084,0.5238,0.5571,14.2998,0.0333,0.5303,0.534,0.4761,0.5303
5,3s,MICE,BoS__gini,BoS__gini,Yes,ROSE,RF,3s & MICE & BoS__gini & Yes & ROSE & RF,0.7962,0.1587,0.4762,0.6477,7.0399,0.1531,0.7534,0.8381,0.6282,0.7534
5,3s,MICE,BoS__gini,BoS__gini,Yes,ROSE,LR,3s & MICE & BoS__gini & Yes & ROSE & LR,0.5892,0.097,0.619,0.603,14.1898,0.0589,0.5363,0.5406,0.4838,0.5363
11,with_NaN,MICE,BoS__shap,BoS__shap,Yes,SMOTEENN,RF,NaN & MICE & BoS__shap & Yes & SMOTEENN & RF,0.7038,0.125,0.5714,0.6424,10.2299,0.1071,0.8908,0.8611,0.9642,0.8787
11,with_NaN,MICE,BoS__shap,BoS__shap,Yes,ADASYN,RF,NaN & MICE & BoS__shap & Yes & ADASYN & RF,0.7771,0.1343,0.4286,0.6153,7.6999,0.1144,0.8735,0.8306,0.9426,0.8726
11,with_NaN,MICE,BoS__shap,BoS__shap,Yes,SMOTE,RF,NaN & MICE & BoS__shap & Yes & SMOTE & RF,0.8025,0.1404,0.381,0.6069,6.8199,0.119,0.8423,0.8631,0.8137,0.8423
9,with_NaN,MICE,BoS__shap,BoS__shap,Yes,ROSE,RF,NaN & MICE & BoS__shap & Yes & ROSE & RF,0.8089,0.1579,0.4286,0.6324,6.5999,0.1474,0.8521,0.8614,0.8393,0.8521
