n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model_new,FS_classifier_model,remove_multicoli,balancing_sampling_technique,Model,combination,accuracy,precision,recall,auc,log_loss_,cohen_kappa_score_,accuracy_train,ision_train,recall_train,auc_train
27,3s,MICE,RFE__SVM,RFE__SVM,Yes,SMOTE,RF,3s & MICE & RFE__SVM & SMOTE & RF,0.8312,0.1923,0.4762,0.6664,5.8299,0.1975,0.9393,0.9009,0.9872,0.9393
19,3s,knn__uniform,BoS__shap,BoS__shap,No,SMOTE,RF,3s & knn__uniform & BoS__shap & SMOTE & RF,0.8185,0.1897,0.5238,0.6817,6.2699,0.1999,0.8701,0.8498,0.8991,0.8701
10,3s,knn__uniform,BoS__shap,BoS__shap,Yes,SMOTEENN,RF,3s & knn__uniform & BoS__shap & SMOTEENN & RF,0.7866,0.1892,0.6667,0.7309,7.3699,0.2127,0.9154,0.9111,0.9389,0.9125
24,3s,MICE,RFE__RF,RFE__RF_30,Yes,ADASYN,LR,3s & MICE & RFE__RF & ADASYN & LR,0.7962,0.1884,0.619,0.714,7.0399,0.2076,0.7338,0.7809,0.6416,0.7328
12,3s,knn__distance,BoS__shap,BoS__shap,Yes,SMOTEENN,RF,3s & knn__distance & BoS__shap & SMOTEENN & RF,0.7643,0.1882,0.7619,0.7632,8.1399,0.218,0.9132,0.8942,0.9583,0.907
29,3s,MICE,RFE__SVM,RFE__SVM,Yes,ADASYN,RF,3s & MICE & RFE__SVM & ADASYN & RF,0.8376,0.1875,0.4286,0.6477,5.6099,0.185,0.9276,0.8877,0.9785,0.9277
14,3s,MICE,BoP,BoP,Yes,ROSE,RF,3s & MICE & BoP & ROSE & RF,0.8057,0.1875,0.5714,0.697,6.7099,0.202,0.8444,0.8347,0.859,0.8444
25,3s,MICE,RFE__RF,RFE__RF_30,Yes,SMOTEENN,RF,3s & MICE & RFE__RF & SMOTEENN & RF,0.7834,0.1867,0.6667,0.7292,7.4799,0.209,0.9398,0.9085,0.9991,0.9263
25,3s,MICE,RFE__RF,RFE__RF_30,Yes,ADASYN,RF,3s & MICE & RFE__RF & ADASYN & RF,0.8471,0.186,0.381,0.6307,5.2799,0.1759,0.9248,0.8906,0.9668,0.9253
19,3s,knn__uniform,BoS__shap,BoS__shap,No,SMOTEENN,RF,3s & knn__uniform & BoS__shap & SMOTEENN & RF,0.7611,0.186,0.7619,0.7615,8.2499,0.2146,0.9129,0.8929,0.9622,0.905
12,3s,knn__uniform,BoP,BoP,Yes,ROSE,RF,3s & knn__uniform & BoP & ROSE & RF,0.793,0.1857,0.619,0.7123,7.1499,0.2038,0.8333,0.8385,0.8256,0.8333
14,3s,knn__uniform,RFE__RF,RFE__RF_15,Yes,ROSE,RF,3s & knn__uniform & RFE__RF & ROSE & RF,0.8025,0.1846,0.5714,0.6953,6.8199,0.198,0.8479,0.8589,0.8325,0.8479
12,nothing,knn__uniform,BoS__shap,BoS__shap,Yes,ROSE,RF,nothing & knn__uniform & BoS__shap & ROSE & RF,0.8025,0.1846,0.5714,0.6953,6.8199,0.198,0.8308,0.8371,0.8214,0.8308
14,nothing,MICE,BoP,BoP,Yes,SMOTE,RF,nothing & MICE & BoP & SMOTE & RF,0.8025,0.1846,0.5714,0.6953,6.8199,0.198,0.9064,0.8578,0.9744,0.9064
26,with_NaN,knn__distance,RFE__RF,RFE__RF,Yes,ADASYN,RF,NaN & knn__distance & RFE__RF & ADASYN & RF,0.8344,0.1837,0.4286,0.646,5.7199,0.1804,0.9321,0.8868,0.9896,0.9324
23,with_NaN,knn__uniform,RFE__RF,RFE__RF,Yes,ADASYN,NN,NaN & knn__uniform & RFE__RF & ADASYN & NN,0.8344,0.1837,0.4286,0.646,5.7199,0.1804,0.6128,0.7446,0.3325,0.6102
10,3s,MICE,BoS__shap,BoS__shap,Yes,ROSE,RF,3s & MICE & BoS__shap & ROSE & RF,0.8121,0.1833,0.5238,0.6783,6.4899,0.1915,0.8406,0.8493,0.8282,0.8406
13,3s,MICE,BoP,BoP,Yes,SMOTE,RF,3s & MICE & BoP & SMOTE & RF,0.8121,0.1833,0.5238,0.6783,6.4899,0.1915,0.9064,0.8594,0.9718,0.9064
13,3s,MICE,RFE__RF,RFE__RF_15,Yes,SMOTE,RF,3s & MICE & RFE__RF & SMOTE & RF,0.8121,0.1833,0.5238,0.6783,6.4899,0.1915,0.9098,0.8619,0.9761,0.9098
18,3s,knn__uniform,BoS__shap,BoS__shap,No,ADASYN,RF,3s & knn__uniform & BoS__shap & ADASYN & RF,0.8121,0.1833,0.5238,0.6783,6.4899,0.1915,0.8568,0.8288,0.897,0.857
11,nothing,knn__uniform,BoP,BoP,Yes,ROSE,RF,nothing & knn__uniform & BoP & ROSE & RF,0.7898,0.1831,0.619,0.7105,7.2599,0.2,0.8278,0.8391,0.8111,0.8278
25,with_NaN,knn__uniform,RFE__RF,RFE__RF,Yes,SMOTE,RF,NaN & knn__uniform & RFE__RF & SMOTE & RF,0.8439,0.1818,0.381,0.629,5.3899,0.1711,0.9385,0.8946,0.994,0.9385
10,with_NaN,knn__uniform,BoS__shap,BoS__shap,Yes,SMOTE,RF,NaN & knn__uniform & BoS__shap & SMOTE & RF,0.8185,0.1786,0.4762,0.6596,6.2699,0.18,0.8342,0.8561,0.8034,0.8342
14,nothing,knn__uniform,RFE__RF,RFE__RF,Yes,ROSE,RF,nothing & knn__uniform & RFE__RF & ROSE & RF,0.7834,0.1781,0.619,0.7071,7.4799,0.1927,0.8376,0.8459,0.8256,0.8376
11,with_NaN,knn__uniform,BoS__shap,BoS__shap,Yes,ROSE,RF,NaN & knn__uniform & BoS__shap & ROSE & RF,0.8057,0.1774,0.5238,0.6749,6.7099,0.1835,0.806,0.8272,0.7735,0.806
14,3s,knn__uniform,BoS__shap,BoS__shap,Yes,ROSE,RF,3s & knn__uniform & BoS__shap & ROSE & RF,0.8631,0.1765,0.2857,0.5951,4.7299,0.1477,0.9235,0.9476,0.8966,0.9235
14,nothing,MICE,BoP,BoP,Yes,ROSE,RF,nothing & MICE & BoP & ROSE & RF,0.793,0.1765,0.5714,0.6902,7.1499,0.1865,0.8449,0.8371,0.8564,0.8449
31,3s,knn__uniform,RFE__SVM,RFE__SVM,No,SMOTE,RF,3s & knn__uniform & RFE__SVM & SMOTE & RF,0.8248,0.1731,0.4286,0.6409,6.0499,0.1672,0.9312,0.8848,0.9915,0.9312
31,3s,knn__uniform,RFE__RF,RFE__RF,No,ADASYN,LR,3s & knn__uniform & RFE__RF & ADASYN & LRno_removing_coli,0.7643,0.1728,0.6667,0.719,8.1399,0.1883,0.7412,0.7532,0.7099,0.7409
31,3s,knn__uniform,RFE__RF,RFE__RF,No,SMOTE,RF,3s & knn__uniform & RFE__RF & SMOTE & RF,0.8344,0.1702,0.381,0.6239,5.7199,0.1574,0.9368,0.9036,0.9778,0.9368
12,nothing,MICE,RFE__RF,RFE__RF,Yes,SMOTE,RF,nothing & MICE & RFE__RF & SMOTE & RF,0.8089,0.1695,0.4762,0.6545,6.5999,0.1679,0.906,0.8582,0.9726,0.906
24,3s,knn__uniform,RFE__RF,RFE__RF,Yes,ADASYN,NN,3s & knn__uniform & RFE__RF & ADASYN & NN,0.7962,0.1692,0.5238,0.6698,7.0399,0.1721,0.6587,0.7351,0.4847,0.6569
25,3s,MICE,RFE__RF,RFE__RF_30,Yes,SMOTE,RF,3s & MICE & RFE__RF & SMOTE & RF,0.8567,0.1667,0.2857,0.5917,4.9499,0.1377,0.9308,0.8956,0.9752,0.9308
5,nothing,knn__uniform,BoS__shap,BoS__shap,Yes,ADASYN,NN,nothing & knn__uniform & BoS__shap & ADASYN & NN,0.8567,0.1667,0.2857,0.5917,4.9499,0.1377,0.5495,0.6836,0.2023,0.5533
10,3s,knn__distance,BoS__shap,BoS__shap,Yes,ROSE,RF,3s & knn__distance & BoS__shap & ROSE & RF,0.793,0.1667,0.5238,0.668,7.1499,0.1685,0.8684,0.8767,0.8573,0.8684
31,3s,knn__uniform,RFE__RF,RFE__RF,No,ROSE,LR,3s & knn__uniform & RFE__RF & ROSE & LRno_removing_coli,0.793,0.1667,0.5238,0.668,7.1499,0.1685,0.7056,0.7379,0.6376,0.7056
11,3s,MICE,BoS__shap,BoS__shap,Yes,ROSE,LR,3s & MICE & BoS__shap & ROSE & LR,0.7803,0.1667,0.5714,0.6833,7.5899,0.1724,0.7056,0.7534,0.6111,0.7056
15,3s,knn__uniform,BoS__shap,BoS__shap,No,ADASYN,LR,3s & knn__uniform & BoS__shap & ADASYN & LRno_removing_coli,0.7643,0.1646,0.619,0.6969,8.1399,0.1726,0.7151,0.7518,0.6391,0.7149
18,3s,knn__uniform,BoS__shap,BoS__shap,No,ROSE,LR,3s & knn__uniform & BoS__shap & ROSE & LRno_removing_coli,0.7771,0.1644,0.5714,0.6816,7.6999,0.169,0.7145,0.7588,0.6291,0.7145
15,3s,knn__uniform,BoS__shap,BoS__shap,No,ROSE,RF,3s & knn__uniform & BoS__shap & ROSE & RF,0.828,0.1633,0.381,0.6205,5.9399,0.1489,0.8897,0.9079,0.8675,0.8897
31,3s,knn__uniform,RFE__RF,RFE__RF,No,SMOTE,LR,3s & knn__uniform & RFE__RF & SMOTE & LRno_removing_coli,0.7611,0.1625,0.619,0.6952,8.2499,0.1694,0.7073,0.7203,0.6778,0.7073
13,3s,knn__uniform,BoP,BoP,Yes,SMOTE,RF,3s & knn__uniform & BoP & SMOTE & RF,0.7866,0.1618,0.5238,0.6646,7.3699,0.1615,0.8983,0.852,0.9641,0.8983
15,3s,MICE,RFE__RF,RFE__RF_15,Yes,ROSE,RF,3s & MICE & RFE__RF & ROSE & RF,0.7866,0.1618,0.5238,0.6646,7.3699,0.1615,0.8547,0.8505,0.8607,0.8547
