,hyperparam,test_accuracy_mean,test_recall_mean,test_precision_mean,test_f1_mean,test_type_1_error_FP_mean,test_type_2_error_FN_mean,test_auc_mean,test_cost_mean,hyperparam_str,batch_size,epochs,activation,dropout_rate,neurons
1975,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}",0.5669376693766937,0.901564283600389,0.5868419668043355,0.7089354329459444,138.4,21.4,0.49424240670085673,245.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}",200,10,linear,0.3,2.0
1980,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}",0.513279132791328,0.5477994334756691,0.5518628250545828,0.4568224866669941,81.4,98.2,0.5050255445524041,572.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}",200,10,linear,0.5,0.5
1985,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1.5}",0.5642276422764227,0.900494651841204,0.5857772383670465,0.7080169650496426,139.2,21.6,0.4910411565235996,247.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1.5}",200,10,linear,0.5,1.5
1990,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}",0.5685636856368563,0.9216716695556588,0.5845992406052984,0.713175641839035,142.2,17.0,0.49175688740940837,227.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}",200,10,linear,0.5,1.0
1995,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 2}",0.602710027100271,0.9586606350145859,0.6038678687688281,0.7395881973389964,137.6,9.0,0.5255877242692308,182.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 2}",200,10,linear,0.5,2.0
2000,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 0.5}",0.5902439024390244,0.8258064516129032,0.6206280886338276,0.6993811782638162,113.4,37.8,0.5385611205432937,302.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 0.5}",200,10,relu,0.0,0.5
2005,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1.5}",0.5100271002710027,0.650441804422272,0.576526409594447,0.6029705306901858,104.8,76.0,0.47959960559210496,484.8,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1.5}",200,10,relu,0.0,1.5
2010,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1}",0.5615176151761517,0.6352809368790429,0.505202563234346,0.5581818141538226,82.6,79.2,0.5448102139954643,478.6,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 1}",200,10,relu,0.0,1.0
2015,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 2}",0.4596205962059621,0.4680125142688031,0.5413880724448472,0.4850768915017068,83.8,115.6,0.4576730399855692,661.8,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0, 'neurons': 2}",200,10,relu,0.0,2.0
2020,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 0.5}",0.4558265582655826,0.21658563395763747,0.5176151761517616,0.17900917997229185,30.4,170.4,0.5082928169788188,882.4,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 0.5}",200,10,relu,0.1,0.5
2025,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1.5}",0.5783197831978321,0.6526360292563311,0.5223475869669183,0.5754462928050097,80.0,75.6,0.5625240097484165,458.0,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1.5}",200,10,relu,0.1,1.5
2030,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1}",0.5311653116531165,0.6098380755083921,0.481618987943477,0.5340914689319359,88.2,84.8,0.5139030042930598,512.2,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 1}",200,10,relu,0.1,1.0
2035,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 2}",0.529539295392954,0.674269648670359,0.5894454212454212,0.6226840488707257,102.8,70.8,0.4980837612469955,456.8,"{'batch_size': 200, 'epochs': 10, 'activation': 'relu', 'dropout_rate': 0.1, 'neurons': 2}",200,10,relu,0.1,2.0
