,Unnamed: 0,fold,hyperparam,batch_size,epochs,activation,dropout_rate,neurons,test_cf_matrix,test_accuracy,test_f1,test_precision,test_recall,test_auc,test_type_1_error_FP,test_type_2_error_FN,test_log_loss,test_cohen_kappa_score,hyperparam_str
2357,2357,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}",100,20,linear,0.1,1.0,"[[ 98  53]
 [ 49 169]]",0.7235772357723578,0.7681818181818181,0.7612612612612613,0.7752293577981652,0.7121179901573608,53,49,9.547418891449023,0.4259699853587115,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1}"
2358,2358,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}",100,20,linear,0.1,1.5,"[[ 85  66]
 [ 63 155]]",0.6504065040650406,0.7061503416856492,0.7013574660633484,0.7110091743119266,0.6369615407983473,66,63,12.074674602639217,0.2747619410375562,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 1.5}"
2359,2359,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}",100,20,linear,0.1,2.0,"[[ 81  70]
 [ 37 181]]",0.7100271002710027,0.7718550106609808,0.7211155378486056,0.8302752293577982,0.6833495352087005,70,37,10.015460829473051,0.3794420432220039,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.1, 'neurons': 2}"
2360,2360,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}",100,20,linear,0.3,0.5,"[[109  42]
 [ 81 137]]",0.6666666666666666,0.6901763224181361,0.7653631284916201,0.6284403669724771,0.6751473358041193,42,81,11.513016476059844,0.3369223801662552,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 0.5}"
2361,2361,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}",100,20,linear,0.3,1.0,"[[101  50]
 [ 75 143]]",0.6612466124661247,0.6958637469586374,0.7409326424870466,0.6559633027522935,0.662418737468862,50,75,11.700235851586305,0.3167780065470812,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1}"
2362,2362,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}",100,20,linear,0.3,1.5,"[[ 92  59]
 [ 66 152]]",0.6612466124661247,0.7086247086247086,0.7203791469194313,0.6972477064220184,0.6532596148004132,59,66,11.700255353962648,0.304351104743232,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 1.5}"
2363,2363,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}",100,20,linear,0.3,2.0,"[[ 22 129]
 [ 39 179]]",0.5447154471544715,0.6806083650190115,0.5811688311688312,0.8211009174311926,0.4833981408348016,129,39,15.725250900849566,-0.0365515165702439,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.3, 'neurons': 2}"
2364,2364,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}",100,20,linear,0.5,0.5,"[[136  15]
 [131  87]]",0.6043360433604336,0.54375,0.8529411764705882,0.3990825688073394,0.6498724102314843,15,131,13.665781429860196,0.2680958591457451,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 0.5}"
2365,2365,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}",100,20,linear,0.5,1.0,"[[ 86  65]
 [ 65 153]]",0.6476964769647696,0.7018348623853211,0.7018348623853211,0.7018348623853211,0.6356856431131904,65,65,12.16827345574892,0.2713712862263807,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1}"
2366,2366,4,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1.5}",100,20,linear,0.5,1.5,"[[101  50]
 [ 77 141]]",0.6558265582655827,0.6894865525672372,0.7382198952879581,0.6467889908256881,0.6578315815055593,50,77,11.887437891667116,0.3072215241333432,"{'batch_size': 100, 'epochs': 20, 'activation': 'linear', 'dropout_rate': 0.5, 'neurons': 1.5}"
