,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
157,0.004850531,0.006833711,0,0,friedman_mse,0.1,deviance,3,log2,1,1,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.9}",,,,,,,,116
158,0.00147357,0.001856243,0,0,friedman_mse,0.1,deviance,3,log2,1,1,800,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 800, 'subsample': 0.8}",,,,,,,,117
159,0.003680706,0.006530889,0,0,friedman_mse,0.1,deviance,3,log2,1,1,800,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 800, 'subsample': 0.9}",,,,,,,,118
160,0.006116867,0.007699968,0,0,friedman_mse,0.1,deviance,3,log2,1,1,1000,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.8}",,,,,,,,119
169,0.000226259,0.000452518,0,0,friedman_mse,0.1,deviance,5,sqrt,1,1,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.9}",,,,,,,,120
49,0.002999973,0.000632863,0,0,friedman_mse,0.05,deviance,8,sqrt,1,1,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.9}",,,,,,,,121
16,0.002600002,0.000489921,0,0,friedman_mse,0.05,deviance,3,log2,1,1,1000,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.8}",,,,,,,,122
1,0.003599501,0.001200628,0,0,friedman_mse,0.05,deviance,3,sqrt,1,1,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.9}",,,,,,,,123
2,0.003000116,2.27E-06,0,0,friedman_mse,0.05,deviance,3,sqrt,1,1,800,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 800, 'subsample': 0.8}",,,,,,,,124
3,0.00299983,0.000632787,0,0,friedman_mse,0.05,deviance,3,sqrt,1,1,800,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 800, 'subsample': 0.9}",,,,,,,,125
4,0.002999926,0.000633165,0,0,friedman_mse,0.05,deviance,3,sqrt,1,1,1000,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.8}",,,,,,,,126
209,0.005637836,0.002041521,0,0,friedman_mse,0.1,deviance,8,log2,1,1,1000,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.9}",,,,,,,,127
208,0.001310158,0.002620316,0,0,friedman_mse,0.1,deviance,8,log2,1,1,1000,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.8}",,,,,,,,128
207,0.003598976,0.00079998,0,0,friedman_mse,0.1,deviance,8,log2,1,1,800,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 800, 'subsample': 0.9}",,,,,,,,129
206,0.004078007,0.004404536,0,0,friedman_mse,0.1,deviance,8,log2,1,1,800,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 800, 'subsample': 0.8}",,,,,,,,130
205,0.003012609,0.0024598,0,0,friedman_mse,0.1,deviance,8,log2,1,1,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.9}",,,,,,,,131
204,0.001016808,0.002033615,0,0,friedman_mse,0.1,deviance,8,log2,1,1,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.8}",,,,,,,,132
5,0.002400351,0.000490311,0,0,friedman_mse,0.05,deviance,3,sqrt,1,1,1000,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.9}",,,,,,,,133
197,0.003331614,0.006663227,0,0,friedman_mse,0.1,deviance,8,sqrt,1,1,1000,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.9}",,,,,,,,134
17,0.002600384,0.000800109,0,0,friedman_mse,0.05,deviance,3,log2,1,1,1000,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.9}",,,,,,,,135
196,0.003106737,0.004324164,0,0,friedman_mse,0.1,deviance,8,sqrt,1,1,1000,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.8}",,,,,,,,136
194,0.003245735,0.00649147,0,0,friedman_mse,0.1,deviance,8,sqrt,1,1,800,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 800, 'subsample': 0.8}",,,,,,,,137
193,0,0,0,0,friedman_mse,0.1,deviance,8,sqrt,1,1,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.9}",,,,,,,,138
192,0.004462671,0.006498321,0,0,friedman_mse,0.1,deviance,8,sqrt,1,1,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.8}",,,,,,,,139
12,0.003599882,0.00205919,0,0,friedman_mse,0.05,deviance,3,log2,1,1,500,0.8,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.8}",,,,,,,,140
13,0.003201389,0.001601529,0,0,friedman_mse,0.05,deviance,3,log2,1,1,500,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.05, 'loss': 'deviance', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 500, 'subsample': 0.9}",,,,,,,,141
185,0.006424332,0.005902368,0,0,friedman_mse,0.1,deviance,5,log2,1,1,1000,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 1, 'n_estimators': 1000, 'subsample': 0.9}",,,,,,,,142
