,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_degree,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_train_acc,split1_train_acc,split2_train_acc,split3_train_acc,split4_train_acc,mean_train_acc,std_train_acc,split0_test_rec,split1_test_rec,split2_test_rec,split3_test_rec,split4_test_rec,mean_test_rec,std_test_rec,rank_test_rec,split0_train_rec,split1_train_rec,split2_train_rec,split3_train_rec,split4_train_rec,mean_train_rec,std_train_rec,split0_test_pre,split1_test_pre,split2_test_pre,split3_test_pre,split4_test_pre,mean_test_pre,std_test_pre,rank_test_pre,split0_train_pre,split1_train_pre,split2_train_pre,split3_train_pre,split4_train_pre,mean_train_pre,std_train_pre,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_roc,split1_test_roc,split2_test_roc,split3_test_roc,split4_test_roc,mean_test_roc,std_test_roc,rank_test_roc,split0_train_roc,split1_train_roc,split2_train_roc,split3_train_roc,split4_train_roc,mean_train_roc,std_train_roc,split0_test_cost_wafer,split1_test_cost_wafer,split2_test_cost_wafer,split3_test_cost_wafer,split4_test_cost_wafer,mean_test_cost_wafer,std_test_cost_wafer,rank_test_cost_wafer,split0_train_cost_wafer,split1_train_cost_wafer,split2_train_cost_wafer,split3_train_cost_wafer,split4_train_cost_wafer,mean_train_cost_wafer,std_train_cost_wafer
63,0.086488295,0.007599764,0.049448442,0.005106986,1,0.1,poly,5,"{'C': 1, 'degree': 5, 'gamma': 0.1, 'kernel': 'poly'}",0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0,80,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0.849889625,0.823854045,0.823951435,0.851350474,0.854986365,0.840806389,0.013901267,125,0.825632149,0.826291147,0.823846348,0.820714077,0.819778463,0.823252437,0.002598511,-151,-151,-151,-151,-151,-151,0,26,-604,-604,-604,-604,-604,-604,0
64,0.151915264,0.006869748,0.029015398,0.004448966,1,1,poly,5,"{'C': 1, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}",0.929577465,0.912676056,0.938028169,0.915492958,0.938028169,0.926760563,0.010836836,13,0.97954866,0.973906911,0.975317348,0.971086037,0.972496474,0.974471086,0.002904268,0.975490196,0.980392157,0.985294118,0.965686275,0.990196078,0.979411765,0.008433652,61,0.998771499,0.995085995,0.998771499,0.988943489,0.997542998,0.995823096,0.003693685,0.908675799,0.881057269,0.913636364,0.895454545,0.90990991,0.901746777,0.012030447,13,0.966706302,0.960854093,0.959858323,0.96176822,0.956419317,0.961121251,0.00332824,0.940898345,0.928074246,0.948113208,0.929245283,0.948356808,0.938937578,0.008817156,13,0.982477341,0.977670489,0.978928356,0.975166566,0.976548406,0.978158232,0.002491076,0.857353959,0.825343618,0.875294474,0.828347613,0.876112392,0.852490411,0.022006819,13,0.958672975,0.947150037,0.950261437,0.941106391,0.944557996,0.948349767,0.005975056,0.965361641,0.944520192,0.973509934,0.96877029,0.968802753,0.964192962,0.010172431,13,0.992803912,0.994782938,0.994105635,0.99238492,0.995568039,0.993929089,0.001191375,-70,-67,-49,-93,-40,-63.8,18.36736236,12,-38,-73,-44,-122,-57,-66.8,30.10249159
65,0.091552687,0.008290812,0.057979679,0.01457388,100,0.001,poly,1,"{'C': 100, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.788732394,0.763380282,0.774647887,0.816901408,0.802816901,0.789295775,0.019138352,66,0.78561354,0.795486601,0.790550071,0.781382228,0.781382228,0.786882934,0.005469879,0.818627451,0.803921569,0.803921569,0.838235294,0.857843137,0.824509804,0.020889486,90,0.83046683,0.825552826,0.828009828,0.815724816,0.816953317,0.823341523,0.005937615,0.814634146,0.788461538,0.803921569,0.842364532,0.810185185,0.811913394,0.017615447,72,0.802850356,0.819512195,0.811070999,0.805825243,0.805084746,0.808868708,0.005965493,0.816625917,0.796116505,0.803921569,0.84029484,0.833333333,0.818058433,0.016799593,56,0.816425121,0.82252142,0.819452888,0.810744811,0.81097561,0.81602397,0.004636609,0.567469432,0.514438218,0.539020906,0.625786794,0.593887192,0.568120509,0.039289494,67,0.559436685,0.581286351,0.570318673,0.552060684,0.551894255,0.562999329,0.011345986,0.852064667,0.838202831,0.851090767,0.868848202,0.881833528,0.858407999,0.015230114,70,0.858565745,0.861134614,0.858771173,0.853828693,0.851385928,0.856737231,0.003575287,-408,-444,-440,-362,-331,-397,44.18144407,91,-1546,-1568,-1557,-1660,-1651,-1596.4,48.83687132
66,0.103774786,0.011911987,0.047395992,0.008438222,100,0.01,poly,1,"{'C': 100, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.794366197,0.763380282,0.785915493,0.811267606,0.8,0.790985915,0.016073625,62,0.786318759,0.78561354,0.791960508,0.782087447,0.781382228,0.785472496,0.003768798,0.81372549,0.784313725,0.789215686,0.808823529,0.803921569,0.8,0.01134886,113,0.805896806,0.800982801,0.796068796,0.791154791,0.785012285,0.795823096,0.007305193,0.825870647,0.8,0.829896907,0.85492228,0.841025641,0.830343095,0.018216248,65,0.81897628,0.82115869,0.833976834,0.82247765,0.825581395,0.82443417,0.005229223,0.819753086,0.792079208,0.809045226,0.831234257,0.822055138,0.814833383,0.01339105,65,0.812383901,0.810945274,0.814582024,0.80651221,0.804785894,0.809841861,0.003655079,0.580525693,0.517768444,0.566730787,0.618770161,0.594812467,0.57572151,0.033704961,63,0.564362628,0.563709207,0.578737452,0.557882944,0.557659156,0.564470277,0.007667169,0.85855733,0.84602649,0.859953253,0.875340865,0.88410596,0.86479678,0.013406987,65,0.865448606,0.868035781,0.864639097,0.861299364,0.859196267,0.863723823,0.003123535,-415,-480,-463,-418,-431,-441.4,25.72625118,115,-1725,-1762,-1789,-1839,-1885,-1800,56.45529205
67,0.090352678,0.008598895,0.035130787,0.005982913,100,0.1,poly,1,"{'C': 100, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.797183099,0.766197183,0.788732394,0.811267606,0.805633803,0.793802817,0.015774648,57,0.791255289,0.789139633,0.789139633,0.787729196,0.790550071,0.789562764,0.001229591,0.808823529,0.794117647,0.789215686,0.823529412,0.81372549,0.805882353,0.012631469,103,0.805896806,0.793611794,0.796068796,0.796068796,0.78992629,0.796314496,0.005292545,0.833333333,0.798029557,0.834196891,0.844221106,0.842639594,0.830484096,0.016802748,62,0.826196474,0.831402831,0.829705506,0.827586207,0.836150845,0.830208373,0.003463053,0.820895522,0.796068796,0.811083123,0.833746898,0.827930175,0.817944903,0.013294833,61,0.815920398,0.812067882,0.812539185,0.811521603,0.812381554,0.812886124,0.001556484,0.587596987,0.522153932,0.573014101,0.615837,0.605272189,0.580774842,0.032780045,58,0.575201403,0.573006378,0.572479559,0.569354909,0.576976588,0.573403767,0.002584642,0.863946241,0.85180496,0.866023893,0.878262563,0.885826516,0.869172835,0.011822389,59,0.869097499,0.873948452,0.869329369,0.863921116,0.86340246,0.867939779,0.003901598,-423,-461,-462,-391,-411,-429.6,27.98285189,105,-1718,-1811,-1793,-1795,-1836,-1790.6,39.42892339
68,0.207759237,0.030209813,0.037900591,0.007391463,100,1,poly,1,"{'C': 100, 'degree': 1, 'gamma': 1, 'kernel': 'poly'}",0.788732394,0.785915493,0.791549296,0.816901408,0.81971831,0.80056338,0.014626203,45,0.796191819,0.796897038,0.793370945,0.794781382,0.794076164,0.79506347,0.001307986,0.794117647,0.81372549,0.779411765,0.828431373,0.823529412,0.807843137,0.018445968,99,0.820638821,0.812039312,0.7997543,0.814496314,0.793611794,0.808108108,0.009931884,0.830769231,0.81372549,0.845744681,0.849246231,0.857142857,0.839325698,0.01539906,51,0.823674476,0.83040201,0.833546735,0.825653798,0.838961039,0.830447612,0.005494381,0.812030075,0.81372549,0.81122449,0.838709677,0.84,0.823137947,0.013271904,48,0.822153846,0.821118012,0.81630094,0.820037106,0.815656566,0.819053294,0.002606054,0.571910251,0.562069861,0.581794841,0.627316843,0.63440265,0.595498889,0.029622996,45,0.583515457,0.586471743,0.581081007,0.581415355,0.583991905,0.583295094,0.001952476,0.868166472,0.859693546,0.87157512,0.884235814,0.891377743,0.875009739,0.01136877,51,0.872380282,0.879377044,0.875587809,0.866974063,0.866534732,0.872170786,0.004948154,-453,-418,-479,-380,-388,-423.6,37.77088826,101,-1603,-1665,-1760,-1650,-1804,-1696.4,74.14202587
69,0.090894032,0.00573311,0.044004583,0.005721404,100,0.001,poly,2,"{'C': 100, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0.574647887,0,80,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0.574047955,0,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0.729874776,0,80,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0.729390681,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0.851447864,0.831190754,0.841027139,0.864238411,0.869367615,0.851454357,0.014167973,82,0.842989814,0.844976976,0.84299795,0.837500203,0.836593065,0.841011602,0.003329759,-151,-151,-151,-151,-151,-151,0,26,-604,-604,-604,-604,-604,-604,0
70,0.071108723,0.005399353,0.040758085,0.007739007,100,0.01,poly,2,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.769014085,0.763380282,0.769014085,0.791549296,0.805633803,0.77971831,0.016172056,71,0.777150917,0.776445698,0.774330042,0.776445698,0.768688293,0.77461213,0.003109366,0.774509804,0.759803922,0.764705882,0.774509804,0.799019608,0.774509804,0.013513773,120,0.781326781,0.772727273,0.759213759,0.773955774,0.764127764,0.77027027,0.007769724,0.81443299,0.815789474,0.821052632,0.849462366,0.853403141,0.83082812,0.017014042,59,0.821705426,0.826544021,0.832884097,0.825688073,0.820580475,0.825480419,0.004341632,0.793969849,0.78680203,0.791878173,0.81025641,0.825316456,0.801644584,0.014206384,70,0.801007557,0.798730159,0.794344473,0.798985415,0.791348601,0.796883241,0.003519029,0.532396167,0.523397613,0.534821293,0.5831463,0.608474829,0.55644724,0.033341036,71,0.549065986,0.549553299,0.548402066,0.549246198,0.534296598,0.546112829,0.005920133,0.854012466,0.838852097,0.85248669,0.87196468,0.882417868,0.85994676,0.015396327,68,0.857139952,0.8589705,0.85613315,0.851715427,0.850653709,0.854922547,0.003202404,-496,-525,-514,-488,-438,-492.2,30.0692534,120,-1918,-1982,-2084,-1973,-2056,-2002.6,59.89190262
71,0.062713242,0.002961687,0.025185776,0.006317906,100,0.1,poly,2,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",0.842253521,0.811267606,0.828169014,0.853521127,0.856338028,0.838309859,0.016769438,34,0.86248237,0.854724965,0.856135402,0.854019746,0.855430183,0.856558533,0.003044716,0.862745098,0.838235294,0.823529412,0.882352941,0.882352941,0.857843137,0.02361097,84,0.885749386,0.862407862,0.852579853,0.867321867,0.858722359,0.865356265,0.011275473,0.862745098,0.834146341,0.870466321,0.865384615,0.869565217,0.860461519,0.013452982,38,0.876063183,0.881909548,0.892030848,0.877018634,0.885931559,0.882590754,0.005905897,0.862745098,0.836185819,0.846347607,0.873786408,0.875912409,0.858995468,0.015487175,34,0.880879658,0.872049689,0.871859296,0.872143298,0.872114785,0.873809345,0.003536542,0.677314634,0.6136078,0.653087207,0.699516067,0.705471387,0.669799419,0.033612031,34,0.718316489,0.704307661,0.709004722,0.70212407,0.706400962,0.708030781,0.005624082,0.905596676,0.899428646,0.913647578,0.92257499,0.926016102,0.913452798,0.009994843,36,0.923956994,0.92645671,0.923413932,0.921701352,0.922030851,0.923511968,0.001694178,-308,-364,-385,-268,-267,-318.4,48.59053406,84,-1032,-1214,-1284,-1179,-1240,-1189.8,86.01953267
72,0.36279211,0.017460251,0.015648746,4.56E-05,100,1,poly,2,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.870422535,0.892957746,0.907042254,0.921126761,0.915492958,0.901408451,0.018168468,20,0.935119887,0.937940762,0.935825106,0.922425952,0.933004231,0.932863188,0.005451664,0.921568627,0.950980392,0.950980392,0.980392157,0.975490196,0.955882353,0.021027069,70,0.976658477,0.971744472,0.979115479,0.974201474,0.977886978,0.975921376,0.002646273,0.862385321,0.873873874,0.894009217,0.892857143,0.888392857,0.882303682,0.012274167,22,0.915898618,0.924065421,0.915040184,0.899092971,0.911798396,0.913179118,0.008120305,0.890995261,0.910798122,0.921615202,0.934579439,0.929906542,0.917578913,0.015556026,20,0.94530321,0.947305389,0.945994065,0.935141509,0.943687018,0.943486239,0.004332466,0.734157306,0.781942413,0.810023179,0.841639219,0.829831523,0.799518728,0.038430163,20,0.868481363,0.873582649,0.870172702,0.843220134,0.864470853,0.86398554,0.010789213,0.927704194,0.92315933,0.94861057,0.951305025,0.95565511,0.941286846,0.013217739,23,0.971783117,0.970540378,0.967648112,0.964576859,0.96842101,0.968593895,0.002490819,-190,-128,-123,-64,-75,-116,44.84194465,20,-263,-295,-244,-299,-257,-271.6,21.6665641
