,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_degree,params,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,mean_test_acc,std_test_acc,rank_test_acc,split0_test_rec,split1_test_rec,split2_test_rec,split3_test_rec,split4_test_rec,mean_test_rec,std_test_rec,rank_test_rec,split0_test_pre,split1_test_pre,split2_test_pre,split3_test_pre,split4_test_pre,mean_test_pre,std_test_pre,rank_test_pre,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_test_roc,split1_test_roc,split2_test_roc,split3_test_roc,split4_test_roc,mean_test_roc,std_test_roc,rank_test_roc
56,0.391527795791626,0.026010614055807103,0.020474815368652345,0.004401196133134257,100,1,poly,2,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.8704225352112676,0.8929577464788733,0.9070422535211268,0.9211267605633803,0.9154929577464789,0.9014084507042254,0.018168468165179846,11,0.9215686274509803,0.9509803921568627,0.9509803921568627,0.9803921568627451,0.9754901960784313,0.9558823529411764,0.021027069205418848,37,0.8623853211009175,0.8738738738738738,0.8940092165898618,0.8928571428571429,0.8883928571428571,0.8823036823129305,0.012274167148670318,11,0.8909952606635071,0.9107981220657277,0.9216152019002375,0.9345794392523364,0.9299065420560747,0.9175789131875767,0.01555602556136092,11,0.7341573057380303,0.7819424126664439,0.8100231793450934,0.8416392187386436,0.8298315234077781,0.7995187279791979,0.03843016311277253,11,0.9277041942604857,0.9231593299571484,0.9486105700558369,0.9513050253213868,0.9556551097260096,0.9412868458641734,0.013217738986849786,12
57,0.07919793128967285,0.010045832319828174,0.04582271575927734,0.009445113283485136,100,0.001,poly,3,"{'C': 100, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,62,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,62,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0.8517724970783015,0.830606414751331,0.8383651473834567,0.8597260096091417,0.8660888196338138,0.849311777691209,0.013158265998934536,79
58,0.08915672302246094,0.004530506814431832,0.04764890670776367,0.005771000202033603,100,0.01,poly,3,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,62,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,62,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0.8521295935592781,0.8297948318400208,0.8358979353330737,0.8609271523178808,0.864757823659265,0.8487014673419037,0.013714352325839846,84
59,0.07002582550048828,0.0046192644419483075,0.02934565544128418,0.0029112182725205002,100,0.1,poly,3,"{'C': 100, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",0.8366197183098592,0.8084507042253521,0.8140845070422535,0.856338028169014,0.8591549295774648,0.8349295774647887,0.02089829520111705,23,0.8284313725490197,0.8235294117647058,0.7990196078431373,0.8725490196078431,0.8578431372549019,0.8362745098039216,0.026049667167816495,50,0.8802083333333334,0.84,0.8670212765957447,0.8768472906403941,0.8928571428571429,0.871386808685323,0.01773584528361102,17,0.8535353535353536,0.8316831683168315,0.8316326530612246,0.8746928746928747,0.8749999999999999,0.8533088099212568,0.019315079219209906,24,0.6707778962466046,0.6096723428888273,0.6274560728468146,0.7063901311839694,0.7146066884720956,0.6657806263276623,0.041653330733107674,23,0.9010842747695106,0.8981301129723414,0.9103038566419944,0.9219906505648618,0.9233216465394105,0.9109661082976238,0.010363897380520237,24
60,0.5478049278259277,0.06098437796567873,0.01602182388305664,0.003624029016509931,100,1,poly,3,"{'C': 100, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.9126760563380282,0.9267605633802817,0.9352112676056338,0.9464788732394366,0.9464788732394366,0.9335211267605633,0.012797539934197782,6,0.9852941176470589,0.9950980392156863,0.9852941176470589,0.9901960784313726,0.9950980392156863,0.9901960784313726,0.004384447014705454,27,0.8777292576419214,0.8903508771929824,0.9095022624434389,0.9223744292237442,0.918552036199095,0.9037017725402364,0.0170626027216919,6,0.9284064665127021,0.9398148148148148,0.9458823529411765,0.9550827423167849,0.9552941176470588,0.9448960988465075,0.010105311664874396,6,0.8264498524329421,0.8555966069594376,0.8698102297301432,0.8925144177990995,0.8933177194758096,0.8675377652794865,0.02499764448198752,6,0.964257888585898,0.9554603298272951,0.9705557719776652,0.9842228282041293,0.9649071549149462,0.9678807947019867,0.009491612006641007,6
61,0.06458969116210937,0.005691649688377135,0.03075571060180664,0.0046873886178324725,1000,0.001,poly,1,"{'C': 1000, 'degree': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.7943661971830986,0.7633802816901408,0.7859154929577464,0.8112676056338028,0.8,0.7909859154929577,0.016073625484717892,47,0.8137254901960784,0.7843137254901961,0.7892156862745098,0.8088235294117647,0.803921568627451,0.8,0.01134885970861788,75,0.8258706467661692,0.8,0.8298969072164949,0.8549222797927462,0.841025641025641,0.8303430949602102,0.018216247723323104,49,0.8197530864197531,0.792079207920792,0.8090452261306532,0.8312342569269522,0.8220551378446116,0.8148333830485525,0.013391050248738504,50,0.5805256930316035,0.5177684440669447,0.5667307869571157,0.6187701613759833,0.5948124667094175,0.575721510428213,0.03370496147408525,47,0.8586222568497598,0.8460589533826776,0.8598883261914037,0.8753408648227502,0.884138423581353,0.8648097649655888,0.01340596777107569,46
62,0.08210864067077636,0.005254800225490243,0.029038715362548827,0.004003295724344497,1000,0.01,poly,1,"{'C': 1000, 'degree': 1, 'gamma': 0.01, 'kernel': 'poly'}",0.7971830985915493,0.7661971830985915,0.7887323943661971,0.8112676056338028,0.8056338028169014,0.7938028169014084,0.015774647887323967,42,0.8088235294117647,0.7941176470588235,0.7892156862745098,0.8235294117647058,0.8137254901960784,0.8058823529411765,0.012631469339926598,65,0.8333333333333334,0.7980295566502463,0.8341968911917098,0.8442211055276382,0.8426395939086294,0.8304840961223114,0.016802747906762568,46,0.8208955223880597,0.796068796068796,0.8110831234256927,0.8337468982630273,0.827930174563591,0.8179449029418333,0.01329483306142986,46,0.5875969867660265,0.5221539320323051,0.5730141009086659,0.6158369999085841,0.6052721892564851,0.5807748417744134,0.03278004510902094,42,0.8639787040644072,0.8518698870276588,0.8659914296844565,0.8783274899363719,0.8857291260875211,0.8691793273600832,0.011784825966610357,42
63,0.1944512367248535,0.010693034836052545,0.03287506103515625,0.0025346277058601024,1000,0.1,poly,1,"{'C': 1000, 'degree': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.7915492957746478,0.7859154929577464,0.7915492957746478,0.8169014084507042,0.819718309859155,0.8011267605633803,0.014207910099063125,28,0.7941176470588235,0.8137254901960784,0.7794117647058824,0.8284313725490197,0.8235294117647058,0.807843137254902,0.0184459683551243,61,0.8350515463917526,0.8137254901960784,0.8457446808510638,0.8492462311557789,0.8571428571428571,0.8401821611475061,0.015013612788520462,31,0.8140703517587939,0.8137254901960784,0.8112244897959183,0.8387096774193549,0.84,0.823546001834029,0.012951611212413033,28,0.5781756603497874,0.5620698610570056,0.5817948406712149,0.6273168431645989,0.6344026497722557,0.5967519710029725,0.028717342626340875,28,0.8682638618361251,0.8594987663939747,0.8715751201142709,0.8841708868978055,0.891280353200883,0.8749577976886119,0.01137136548146668,37
64,0.9454318523406983,0.10640987496847766,0.02749772071838379,0.0016815362128764551,1000,1,poly,1,"{'C': 1000, 'degree': 1, 'gamma': 1, 'kernel': 'poly'}",0.7887323943661971,0.780281690140845,0.7887323943661971,0.8140845070422535,0.819718309859155,0.7983098591549297,0.01559250986264572,35,0.7941176470588235,0.8186274509803921,0.7745098039215687,0.8137254901960784,0.8137254901960784,0.8029411764705883,0.01652186230034579,70,0.8307692307692308,0.8028846153846154,0.8449197860962567,0.8556701030927835,0.8645833333333334,0.8397654137352439,0.02161749488775581,33,0.8120300751879699,0.8106796116504855,0.8081841432225064,0.8341708542713568,0.8383838383838385,0.8206897045432313,0.012856157859950023,38,0.5719102513426232,0.5491403150861099,0.5767556409822974,0.6239551539204743,0.6364773028100734,0.5916477328283156,0.033080758577862315,36,0.8698545643422931,0.8602454226723802,0.8762823009998701,0.8853395662900923,0.8948513180106479,0.8773146344630568,0.012000092919788707,28
65,0.09176807403564453,0.008906802779755295,0.04906477928161621,0.0070051177644376034,1000,0.001,poly,2,"{'C': 1000, 'degree': 2, 'gamma': 0.001, 'kernel': 'poly'}",0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,62,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.5746478873239437,0.0,62,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.7298747763864043,0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,0.851090767432801,0.8312232177639268,0.8405077262693158,0.8644981171276458,0.8692377613296974,0.8513115179846773,0.014251645865767834,73
